142674947,perfteacher1618130712000111664@schlperf.com,STEVEN12000111664,ABEL12000111664,Winterport,ME,4496,90896,16wht
142674965,perfteacher91191307120005113944@schlperf.com,ANNALISA120005113944,ABRAHAMS120005113944,Hickory,NC,28601,11792553,175yx
142674984,perfteacher2018130712000121826@schlperf.com,SUSAN12000121826,ABELLEN12000121826,New Canada,ME,4743,11930380,16wmc
142675003,perfteacher2018130712000131846@schlperf.com,SAMANTHA12000131846,ABELN12000131846,Houlton,ME,4761,23121010,16wmw
142675022,perfteacher2018130712000131866@schlperf.com,KATHRYN12000131866,ABELS12000131866,Stacyville,ME,4777,168456,16wnh
142675039,perfteacher1718130712000121740@schlperf.com,ALETHA12000121740,ABELL12000121740,Harborside,ME,4642,509797,16wjx
142675057,perfteacher1818130712000121734@schlperf.com,SUE12000121734,ABELING12000121734,Eastport,ME,4631,30128041,16wjr
142675081,perfteacher2171307120005031@schlperf.com,URSULA120005031,ABAD120005031,Chicopee,MA,1022,11898213,16v8h
142675102,perfteacher1618130712000121822@schlperf.com,VICTORIA12000121822,ABELLA12000121822,Quimby,ME,4739,11806846,16wm8
142675122,perfteacher2418130712000354541@schlperf.com,ZACHARY12000354541,ACERRA12000354541,Bohemia,NY,11716,11922500,16ypq
142675138,perfteacher2418130712000354558@schlperf.com,JOANNE12000354558,ACETO12000354558,Elwood,NY,11731,11854204,16yq6
142675160,perfteacher2018130712000142010@schlperf.com,SONJA12000142010,ABERDEER12000142010,Stratton,ME,4982,156507,16wrf
142675178,perfteacher1118130712000131905@schlperf.com,CRYSTAL12000131905,ABENDROTH12000131905,Union,ME,4862,73780,16woi
142675192,perfteacher1718130712000131891@schlperf.com,XAVIER12000131891,ABELSON12000131891,Lincolnville Center,ME,4850,509797,16wo2
142675210,perfteacher1718130712000131909@schlperf.com,JOANN12000131909,ABENDROTH12000131909,Benton,ME,4901,317489,16won
142675231,perfteacher1518130712000131923@schlperf.com,DOMINIQUE12000131923,ABENSOUR12000131923,Moscow,ME,4920,11790035,16woz
142675251,perfteacher1518130712000131942@schlperf.com,RENATA12000131942,ABER12000131942,Eustis,ME,4936,457272,16wpl
142675271,perfteacher1518130712000131962@schlperf.com,CHLOE12000131962,ABERCROMBIE12000131962,Johnson Mountain Twp,ME,4945,84605,16wq1
142675290,perfteacher1518130712000141978@schlperf.com,KAREN12000141978,ABERCROMBIE12000141978,New Vineyard,ME,4956,23008636,16wqm
142675309,perfteacher2518130712000364714@schlperf.com,MALINDA12000364714,ACEVEDO12000364714,Canaan,NY,12029,11898213,16yuk
142675328,perfteacher1018130712000142016@schlperf.com,TOM12000142016,ABERELLA12000142016,Moxie Gore,ME,4985,233935,16wrm
142675346,perfteacher1718130712000142051@schlperf.com,TERESA12000142051,ABERLE12000142051,Mcindoe Falls,VT,5050,112297,16wsm
142675366,perfteacher2718130712000364725@schlperf.com,MARISOL12000364725,ACEVEDO12000364725,Clarksville,NY,12041,11930380,16yuy
142675385,perfteacher2218130712000142068@schlperf.com,AMY12000142068,ABERNATHY12000142068,South Ryegate,VT,5069,80402,16wt2
142675405,perfteacher1718130712000152112@schlperf.com,JACQUELINE12000152112,ABERNATHY12000152112,Woodford,VT,5201,11816383,16wu9
142675425,perfteacher1718130712000152131@schlperf.com,KATHY12000152131,ABERNATHY12000152131,Brattleboro,VT,5302,11817379,16wuu
142675445,perfteacher1718130712000152151@schlperf.com,MARISA12000152151,ABERNATHY12000152151,Wardsboro,VT,5355,309300,16wvd
142675463,perfteacher1518130712000152162@schlperf.com,NASEEMA12000152162,ABERNATHY12000152162,Searsburg,VT,5363,170671,16wvo
142675482,perfteacher1718130712000152187@schlperf.com,SHELLEY12000152187,ABERNATHY12000152187,Fairfax,VT,5454,260942,16wwf
142675502,perfteacher21713071200053121@schlperf.com,JULIE1200053121,ABALOS1200053121,Lanesboro,MA,1224,73780,16vaz
142675521,perfteacher21713071200053128@schlperf.com,LEAH1200053128,ABALOZ1200053128,New Marlborough,MA,1230,11898176,16vb6
142675537,perfteacher2518130712000162252@schlperf.com,TOMMY12000162252,ABERNETHY12000162252,Eden,VT,5652,11773436,16wy8
142675560,perfteacher21713071200053142@schlperf.com,BRANDI1200053142,ABANSKI1200053142,West Otis,MA,1245,579594,16vbk
142675576,perfteacher2118130712000172374@schlperf.com,CRYSTAL12000172374,ABICHT12000172374,Irasburg,VT,5845,309300,16x1l
142675598,perfteacher2918130712000405120@schlperf.com,TOM12000405120,ACHTERMAN12000405120,Ferndale,NY,12734,11941930,16z5u
142675616,perfteacher2618130712000384976@schlperf.com,SANDRA12000384976,ACHENBACH12000384976,Margaretville,NY,12455,11840890,16z1u
